submission_id,transportation_mode,total_distance_km,duration_minutes,destination_gate,has_poi_stop
836154,ברגל,0.18180000000000002,2.7,uni_north_3,False
836158,,1.28932,17.25,uni_north_3,True
837232,,1.17548,15.633333333333333,uni_west,False
841106,אופניים,1.8598800000000002,12.55,uni_south_3,True
841110,ברגל,0.78138,10.55,uni_north_3,False
841111,אופניים,3.45735,19.983333333333334,uni_north_3,False
841116,ברגל,1.19642,15.233333333333333,uni_south_3,True
841118,ברגל,2.2447799999999996,28.766666666666666,uni_north_3,True
841121,ברגל,0.87203,11.666666666666666,uni_west,False
841125,ברגל,0.97563,12.883333333333333,uni_west,True
841130,ברגל,1.23449,15.95,uni_south_3,True
841134,ברגל,0.4701,6.366666666666666,uni_north_3,True
841138,ברגל,0.7468899999999999,10.05,uni_north_3,False
841146,ברגל,1.38058,17.666666666666668,uni_south_3,True
841153,אופניים,1.80129,11.383333333333333,uni_south_3,True
853074,אופניים,3.31283,20.566666666666666,uni_south_3,True
853078,אופניים,1.64414,9.55,uni_north_3,True
853099,אופניים,0.6698200000000001,4.216666666666667,uni_north_3,False
853159,אוטובוס,1.61901,20.483333333333334,uni_south_3,True
853312,ברגל,1.69143,21.233333333333334,uni_north_3,True
853355,ברגל,0.80761,10.7,uni_north_3,False
853372,ברגל,1.14339,14.95,uni_west,True
853404,אוטובוס,3.9988699999999997,50.25,uni_south_3,False
853411,אופניים/קורקינט חשמלי,1.34671,8.066666666666666,uni_south_3,True
853415,ברגל,0.5181,6.733333333333333,uni_west,False
853444,אופניים,0.61874,4.683333333333334,uni_north_3,False
853566,ברגל,0.9522999999999999,12.85,uni_north_3,True
853621,ברגל,0.24681999999999998,3.5166666666666666,uni_north_3,False
853838,ברגל,1.32949,16.65,uni_north_3,True
853842,ברגל,0.8360799999999999,11.483333333333333,uni_west,True
854340,אופניים/קורקינט חשמלי,0.25789,1.5666666666666667,uni_west,False
856300,ברגל,1.14167,14.583333333333334,uni_north_3,True
856343,אוטובוס,1.42628,18.566666666666666,uni_west,False
856634,ברגל,1.32158,16.8,uni_south_3,False
857141,ברגל,0.37088,5.05,uni_north_3,False
858762,ברגל,0.63449,8.433333333333334,uni_west,False
859290,ברגל,0.64189,8.433333333333334,uni_north_3,True
859317,ברגל,0.9828499999999999,12.483333333333333,uni_south_3,True
859830,ברגל,1.20499,15.833333333333334,uni_north_3,True
859831,ברגל,1.32271,16.75,uni_south_3,True
859968,ברגל,1.07421,14.333333333333334,uni_west,False
860040,אופניים,1.77942,12.3,uni_south_3,True
860047,אופניים,1.26099,8.683333333333334,uni_south_3,False
860238,ברגל,0.74184,9.616666666666667,uni_north_3,False
860303,ברגל,0.55804,7.033333333333333,uni_south_3,False
860362,ברגל,1.1310900000000002,14.616666666666667,uni_south_3,True
863556,ברגל,0.54169,7.2,uni_north_3,True
863629,ברגל,1.05867,13.433333333333334,uni_south_3,False
863862,ברגל,0.74461,9.45,uni_south_3,False
863887,ברגל,1.48929,19.116666666666667,uni_south_3,True
864950,אופניים/קורקינט חשמלי,1.3531600000000001,9.083333333333334,uni_south_3,False
865454,ברגל,0.59904,7.783333333333333,uni_north_3,True
866939,ברגל,0.90592,11.583333333333334,uni_south_3,False
869858,אוטובוס,3.79732,48.53333333333333,uni_north_3,False
869956,ברגל,0.85765,11.483333333333333,uni_west,False
869961,ברגל,0.95955,12.95,uni_north_3,True
870232,רכב,2.23036,5.25,uni_north_3,True
870233,רכב,54.22726,40.71666666666667,uni_north_3,False
870235,ברגל,0.32673,4.5,uni_north_3,False
870237,אוטובוס,1.47771,18.8,uni_north_3,True
870242,ברגל,0.93687,12.5,uni_north_3,True
870258,ברגל,0.8668199999999999,11.616666666666667,uni_west,True
871978,ברגל,0.67676,9.25,uni_north_3,True
878413,אוטובוס,0.31955,4.7,uni_west,False
878457,ברגל,0.37098000000000003,5.366666666666666,uni_west,False
887967,ברגל,0.7364700000000001,9.8,uni_west,False
888010,אוטובוס,0.93074,11.9,uni_south_3,True
888012,אוטובוס,1.51238,19.283333333333335,uni_south_3,True
888014,ברגל,1.50945,19.383333333333333,uni_south_3,True
888022,אוטובוס,1.1863200000000003,15.25,uni_south_3,True
888134,אופניים,1.1013199999999999,7.133333333333334,uni_north_3,True
888466,אופניים/קורקינט חשמלי,0.96589,5.8,uni_north_3,False
898103,ברגל,0.84475,11.3,uni_west,False
898106,אופניים,1.41546,8.933333333333334,uni_north_3,True
898120,ברגל,0.77481,10.466666666666667,uni_north_3,True
898157,אופניים/קורקינט חשמלי,1.13613,8.0,uni_north_3,True
898199,אוטובוס,1.69757,21.333333333333332,uni_south_3,True
898297,ברגל,1.06635,13.716666666666667,uni_south_3,True
899225,רכב,4.51787,10.5,uni_north_3,True
899295,ברגל,1.7150900000000002,22.3,uni_west,True
899867,ברגל,1.47113,18.583333333333332,uni_north_3,True
899962,אופניים/קורקינט חשמלי,1.5194,10.066666666666666,uni_south_3,True
905091,אוטובוס,5.0229099999999995,64.55,uni_north_3,False
916366,ברגל,1.40041,17.833333333333332,uni_south_3,True
916373,ברגל,0.96708,12.566666666666666,uni_north_3,True
916374,רכב,2.97741,5.3,uni_north_3,False
916375,ברגל,0.8352200000000001,10.616666666666667,uni_south_3,False
916388,רכב,1.24295,1.9666666666666666,uni_west,False
916390,רכב,107.72203,87.93333333333334,uni_west,True
916391,ברגל,1.31132,16.783333333333335,uni_south_3,True
916403,ברגל,0.84793,11.1,uni_north_3,True
916414,ברגל,0.7856899999999999,10.516666666666667,uni_north_3,True
916415,ברגל,1.4573600000000002,18.566666666666666,uni_south_3,True
916742,רכב,43.26832000000001,36.28333333333333,uni_west,True
916897,ברגל,0.7080299999999999,9.183333333333334,uni_north_3,False
917594,ברגל,1.5231199999999998,19.283333333333335,uni_south_3,True
